GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02
8600000US00601,00601,ZCTA5 00601,5210,212,13318,1547
8600000US00602,00602,ZCTA5 00602,13500,297,14947,779
8600000US00603,00603,ZCTA5 00603,17958,439,14437,767
8600000US00606,00606,ZCTA5 00606,1679,163,11155,3481
8600000US00610,00610,ZCTA5 00610,9288,286,16367,1113
8600000US00612,00612,ZCTA5 00612,23569,528,17899,868
8600000US00616,00616,ZCTA5 00616,3551,262,15491,1715
8600000US00617,00617,ZCTA5 00617,8143,281,16306,1424
8600000US00622,00622,ZCTA5 00622,1922,268,11871,2818
8600000US00623,00623,ZCTA5 00623,13603,488,16163,976
8600000US00624,00624,ZCTA5 00624,7976,244,14475,1134
8600000US00627,00627,ZCTA5 00627,10796,308,16899,1720
8600000US00631,00631,ZCTA5 00631,562,109,10595,2761
8600000US00637,00637,ZCTA5 00637,7914,297,15401,1160
8600000US00638,00638,ZCTA5 00638,5736,214,14061,914
8600000US00641,00641,ZCTA5 00641,9515,346,14051,1042
8600000US00646,00646,ZCTA5 00646,12284,369,27701,2240
8600000US00647,00647,ZCTA5 00647,1899,179,12560,1544
8600000US00650,00650,ZCTA5 00650,4655,240,15840,1892
8600000US00652,00652,ZCTA5 00652,1111,217,13875,4198
8600000US00653,00653,ZCTA5 00653,4159,239,12703,1251
8600000US00656,00656,ZCTA5 00656,6473,233,14997,1561
8600000US00659,00659,ZCTA5 00659,13208,310,17847,1003
8600000US00660,00660,ZCTA5 00660,6406,198,19548,978
8600000US00662,00662,ZCTA5 00662,14485,376,13631,909
8600000US00664,00664,ZCTA5 00664,4904,204,16821,1921
8600000US00667,00667,ZCTA5 00667,8478,385,14827,1290
8600000US00669,00669,ZCTA5 00669,9751,223,12686,1159
8600000US00670,00670,ZCTA5 00670,3366,141,15431,1670
8600000US00674,00674,ZCTA5 00674,15706,410,16964,1039
8600000US00676,00676,ZCTA5 00676,11831,369,13483,994
8600000US00677,00677,ZCTA5 00677,5508,232,16773,1403
8600000US00678,00678,ZCTA5 00678,9018,247,13230,1200
8600000US00680,00680,ZCTA5 00680,20739,560,13843,663
8600000US00682,00682,ZCTA5 00682,11818,468,14447,1579
8600000US00683,00683,ZCTA5 00683,11585,316,15276,1133
8600000US00685,00685,ZCTA5 00685,12499,352,13100,834
8600000US00687,00687,ZCTA5 00687,9306,267,13871,1459
8600000US00688,00688,ZCTA5 00688,3610,324,14679,1744
8600000US00690,00690,ZCTA5 00690,2153,217,17199,2236
8600000US00692,00692,ZCTA5 00692,11106,365,17267,1023
8600000US00693,00693,ZCTA5 00693,18219,488,16146,977
8600000US00694,00694,ZCTA5 00694,99,54,11292,4613
8600000US00698,00698,ZCTA5 00698,13039,302,14625,942
8600000US00703,00703,ZCTA5 00703,8977,239,13342,1185
8600000US00704,00704,ZCTA5 00704,2896,283,12483,1832
8600000US00705,00705,ZCTA5 00705,8499,187,15536,1491
8600000US00707,00707,ZCTA5 00707,4013,184,15190,1815
8600000US00714,00714,ZCTA5 00714,6265,267,15551,1494
8600000US00715,00715,ZCTA5 00715,1467,189,16044,2592
8600000US00716,00716,ZCTA5 00716,11611,399,19380,1280
8600000US00717,00717,ZCTA5 00717,7520,375,14096,1723
8600000US00718,00718,ZCTA5 00718,8392,291,15996,1301
8600000US00719,00719,ZCTA5 00719,8374,266,14640,1249
8600000US00720,00720,ZCTA5 00720,6780,256,13930,958
8600000US00723,00723,ZCTA5 00723,6470,257,14506,1308
8600000US00725,00725,ZCTA5 00725,31086,625,19938,848
8600000US00727,00727,ZCTA5 00727,18817,574,28717,1544
8600000US00728,00728,ZCTA5 00728,13273,476,18689,1639
8600000US00729,00729,ZCTA5 00729,16222,390,22828,1505
8600000US00730,00730,ZCTA5 00730,13545,500,15791,1206
8600000US00731,00731,ZCTA5 00731,4541,297,13770,1703
8600000US00735,00735,ZCTA5 00735,4575,243,19468,2959
8600000US00736,00736,ZCTA5 00736,17028,388,20100,1331
8600000US00738,00738,ZCTA5 00738,12334,384,21027,1206
8600000US00739,00739,ZCTA5 00739,12372,345,23734,1772
8600000US00740,00740,ZCTA5 00740,708,137,9483,3506
8600000US00741,00741,ZCTA5 00741,1667,170,17726,2324
8600000US00745,00745,ZCTA5 00745,17409,462,21752,1094
8600000US00751,00751,ZCTA5 00751,7812,346,12465,1088
8600000US00754,00754,ZCTA5 00754,13030,311,17809,1065
8600000US00757,00757,ZCTA5 00757,7739,246,17601,1671
8600000US00765,00765,ZCTA5 00765,3127,208,16723,1653
8600000US00766,00766,ZCTA5 00766,7774,266,15785,1503
8600000US00767,00767,ZCTA5 00767,11775,287,17185,1159
8600000US00769,00769,ZCTA5 00769,12983,293,16458,1106
8600000US00771,00771,ZCTA5 00771,11293,334,18181,1327
8600000US00772,00772,ZCTA5 00772,6828,269,15924,1002
8600000US00773,00773,ZCTA5 00773,6646,259,19333,1905
8600000US00775,00775,ZCTA5 00775,552,71,17328,3748
8600000US00777,00777,ZCTA5 00777,12541,358,18684,1411
8600000US00778,00778,ZCTA5 00778,13089,354,27902,2408
8600000US00780,00780,ZCTA5 00780,4092,339,26284,4818
8600000US00782,00782,ZCTA5 00782,6013,227,13157,1036
8600000US00783,00783,ZCTA5 00783,10794,314,14752,1445
8600000US00784,00784,ZCTA5 00784,14527,387,18887,1320
8600000US00786,00786,ZCTA5 00786,143,63,21625,4391
8600000US00791,00791,ZCTA5 00791,16847,434,19595,974
8600000US00794,00794,ZCTA5 00794,9204,261,14947,1164
8600000US00795,00795,ZCTA5 00795,15344,337,16225,929
8600000US00901,00901,ZCTA5 00901,2375,250,13844,4713
8600000US00906,00906,ZCTA5 00906,10,17,,
8600000US00907,00907,ZCTA5 00907,7926,457,30563,2511
8600000US00909,00909,ZCTA5 00909,2490,225,15347,1834
8600000US00911,00911,ZCTA5 00911,3748,277,29851,2166
8600000US00912,00912,ZCTA5 00912,2620,227,16136,3687
8600000US00913,00913,ZCTA5 00913,3670,282,7160,1177
8600000US00915,00915,ZCTA5 00915,12081,438,13055,709
8600000US00917,00917,ZCTA5 00917,8654,438,17941,1484
8600000US00918,00918,ZCTA5 00918,7632,405,30633,4343
8600000US00920,00920,ZCTA5 00920,7437,269,25587,1422
8600000US00921,00921,ZCTA5 00921,14132,499,19925,1534
8600000US00923,00923,ZCTA5 00923,11200,439,16510,1380
8600000US00924,00924,ZCTA5 00924,20038,586,19810,804
8600000US00925,00925,ZCTA5 00925,2610,265,14237,1415
8600000US00926,00926,ZCTA5 00926,38626,813,36231,1211
8600000US00927,00927,ZCTA5 00927,6080,370,34843,4444
8600000US00934,00934,ZCTA5 00934,73,49,60893,87851
8600000US00936,00936,ZCTA5 00936,0,92,,
8600000US00949,00949,ZCTA5 00949,28090,466,24420,966
8600000US00950,00950,ZCTA5 00950,0,92,,
8600000US00951,00951,ZCTA5 00951,6,10,,
8600000US00952,00952,ZCTA5 00952,3438,263,16754,2262
8600000US00953,00953,ZCTA5 00953,21929,376,26851,1268
