fips,gini_cnty,income_cnty,black_cnty,pop_cnty,perc_bush04
1001,0.41,5.1463,0.178565666343982,4.9584,0.758325024925224
1003,0.437,4.8918,0.0990017267743042,17.1997,0.768370607028754
1005,0.471,3.2537,0.46327074132758,2.9663,0.548441135411819
1007,0.395,4.1236,0.230758479314201,2.1464,0.722530375066033
1009,0.414,4.5406,0.00962960354904584,5.6804,0.811857116139892
1011,0.54,2.6209,0.750480901346524,1.0917,0.317399617590822
1013,0.452,3.1938,0.412501857447125,2.0189,0.592619047619048
1015,0.454,3.8382,0.196115748568191,11.2969,0.661414876619918
1017,0.418,3.2433,0.3730693868142,3.4704,0.585729663232354
1019,0.42,4.024,0.0562082941007901,2.4427,0.6578128472994
1021,0.449,3.8966,0.10721044663134,4.2272,0.770534158505077
1023,0.436,3.0749,0.435378452456251,1.4229,0.540664534964549
1025,0.518,2.708,0.417505106286406,2.6438,0.59156043956044
1027,0.393,3.7652,0.146270607887283,1.3769,0.705325804974821
1029,0.456,3.3742,0.0535702037176761,1.4579,0.755586350251169
1031,0.448,4.1973,0.18108200504252,4.6802,0.740888382687927
1033,0.435,3.9366,0.159755069115976,5.4546,0.552509118349893
1035,0.504,2.7216,0.44288546591429,1.3114,0.544514838279426
1037,0.447,3.3595,0.325229655748353,1.0777,0.584491440080564
1039,0.457,3.3278,0.125,3.6688,0.762545479508478
1041,0.5,3.1058,0.21684810404033,1.3687,0.68755693204591
1043,0.45,3.8394,0.012117078010666,8.063,0.766104118993135
1045,0.427,4.2225,0.203740177886509,4.8233,0.749339498018494
1047,0.508,2.6442,0.668826611771311,4.2748,0.395760099507869
1049,0.458,3.3634,0.0153557338339469,6.8183,0.701519176490121
1051,0.405,5.2971,0.214680501603358,7.6714,0.771499632185519
1053,0.463,3.2321,0.314688107345385,3.7561,0.688842071144964
1055,0.442,3.6378,0.146330586524479,10.315,0.634963981355054
1057,0.415,3.5754,0.113251373859838,1.7651,0.694189986196512
1059,0.447,3.338,0.0390637663305994,3.0847,0.627643072903911
1061,0.457,3.1055,0.103875968992248,2.58,0.796097934200459
1063,0.471,2.2352,0.786545215100966,0.9112,0.202408620325375
1065,0.447,2.9841,0.586973435589641,1.7994,0.414150347441567
1067,0.44,3.5792,0.305971049457177,1.658,0.665069805639201
1069,0.469,4.1096,0.252433284238498,9.7091,0.744265927977839
1071,0.439,3.5073,0.0351809142122576,5.2898,0.569174457140031
1073,0.489,4.4718,0.407306119490435,66.2212,0.543477068246654
1075,0.506,3.1094,0.120168998476243,1.4438,0.713931436907367
1077,0.459,3.7691,0.101524562394128,8.855,0.599653050714228
